//======================= About page,//======================== O stranici
About,Oko
Additional Handling,Dodatno rukovanje
Additional handling,Dodatno rukovanje
Quantum View Ship Notification,Quantum View obavijest o brodu
Quantum View Delivery Notification,Quantum View obavijest o isporuci
Residential Address,Adrese stanovanja
Saturday Delivery,Dostava subotom
Carbon Neutral,Ugljično neutralan
Direct Delivery Only,Samo izravna isporuka
Declared value,Deklarirana vrijednost
Signature Required,Potreban potpis
Adult Signature Required,Potreban je potpis odrasle osobe
To Home COD,Do kuće COD
Cancel Editing,Odustani od uređivanja
To Access Point COD,Za pristupnu točku COD
Orders to be processed,Nalozi za obradu
The name is not empty,Ime nije prazno
The address is required,Adresa je obavezna
The postal code is empty or invalid,Poštanski broj je prazan ili nevažeći
The city is not empty,Grad nije prazan
Invalid email format,Nevažeći format e-pošte
The phone is not empty,Telefon nije prazan
Some of the data you entered is not valid. Please check again.,Neki od podataka koje ste unijeli nisu valjani. Molim provjerite opet.
There are errors connecting to the UPS API servers. Please try again.,Došlo je do pogrešaka pri povezivanju s UPS API poslužiteljima. Molim te pokušaj ponovno.
//======================= Shipment page,//======================= Stranica za isporuku
Shipments,Pošiljke
"By selecting any order in this shipment tab, I agree to the <a href='javascrip:void(0);' id='term-condition'>Terms and Conditions.</a>","Odabirom bilo koje narudžbe u ovoj kartici za isporuku, prihvaćam <a href='javascrip:void(0);' id='term-condition'>Uvjeti i odredbe.</a>"
UPS Tracking Terms and Conditions,Odredbe i uvjeti praćenja UPS-a
"NOTICE: The UPS package tracking systems accessed via this service (the &quot; Tracking Systems &quot;) and tracking information obtained through this service (the &quot; Information &quot;) is the private property of UPS. UPS authorizes you to use the Tracking Systems solely to track shipments tendered by or for you to UPS for delivery and for no other purpose. Without limitation, you are not authorized to make the Information available on any web site or otherwise reproduce, distribute, copy, store, use or sell the Information for commercial gain without the express written consent of UPS. This is a personal service, thus your right to use the Tracking Systems or Information is non-assignable. Any access or use that is inconsistent with these terms is unauthorized and strictly prohibited.","OBAVIJEST: UPS sustavi za praćenje paketa kojima se pristupa putem ove usluge (""Sustavi za praćenje"") i informacije o praćenju dobivene putem ove usluge (""Informacije"") privatno su vlasništvo UPS-a. UPS vas ovlašćuje da koristite Sustave za praćenje isključivo za praćenje pošiljaka koje UPS šalje ili za vas dostavlja UPS-u na isporuku i ni za koju drugu svrhu. Bez ograničenja, niste ovlašteni učiniti informacije dostupnima na bilo kojoj web stranici ili na drugi način reproducirati, distribuirati, kopirati, pohranjivati, koristiti ili prodavati informacije za komercijalnu dobit bez izričitog pisanog pristanka UPS-a. Ovo je osobna usluga, stoga se vaše pravo korištenja sustava za praćenje ili informacija ne može prenijeti. Svaki pristup ili korištenje koje nije u skladu s ovim uvjetima je neovlašteno i strogo zabranjeno."
Download PDF Label,Preuzmite PDF oznaku
Download ZPL Label,Preuzmite ZPL oznaku
Export Shipment Data,Izvoz podataka o pošiljci
Cancel Shipments,Otkaži pošiljke
ID Shipment,ID pošiljke
Tracking Number,Broj za pračenje
Date,Datum
Estimated Shipping Fee,Procijenjena naknada za dostavu
Shipment #,Pošiljka #
Order #ID reference,Narudžba #ID reference
Package details,Detalji paketa
Are you sure you want to cancel selected shipment(s)?,Jeste li sigurni da želite otkazati odabrane pošiljke?
Shipment Canceled,Pošiljka otkazana
Archived Orders,Arhivirane narudžbe
//======================= Additional,//======================= Dodatno
Packaging:,Ambalaža:
Access Point display setting:,Postavka prikaza UPS pristupne točke:
Number of Access Points visible to customers:,Broj pristupnih točaka vidljivih korisnicima:
Display all the Access Points in range of:,Prikaži sve pristupne točke u rasponu od:
Title:,Titula:
Company:,Društvo:
Email:,Email:
Phone &nbsp number:,&nbsp broj telefona:
Phone &nbsp;number:,&nbsp;broj telefona:
Address type:,Vrsta adrese:
Address:,Adresa:
Postal code:,Poštanski broj:
City:,Grad:
Country:,Zemlja:
Account Name:,Korisničko ime:
Account Number:,Broj računa:
Account number:,Broj računa:
Invoice Number:,Broj fakture:
Invoice Amount:,Iznos računa:
Currency:,Valuta:
Invoice date:,Datum dostavnice:
Name:,Ime:
Phone:,Telefon:
Customer:,Kupac:
Product:,Proizvod:
Shipping service:,Usluga dostave:
Order value:,Vrijednost narudžbe:
Payment status:,Status plaćanja:
Access Point:,Pristupna točka:
Payment Status:,Status plaćanja:
Phone number:,Broj telefona:
Package:,Paket:
Estimated Shipping fee:,Procijenjena naknada za dostavu:
Estimated Shipping Fee:,Procijenjena naknada za dostavu:
Orders to be processed:,Narudžbe za obradu:
Order #ID reference:,Referenca ID-a narudžbe:
Package details:,Detalji paketa:
Tracking number:,Broj za pračenje:
Accessorial Service:,Dodatna usluga:
Accessorial service:,Dodatna usluga:
"If you are new to UPS, please refer to the following FAQs for additional information:","Ako ste novi u UPS-u, dodatne informacije potražite u sljedećim često postavljanim pitanjima:"
VAT Number:,PDV broj:
Promo Code:,Promo kod:
Country/Territory:,Država/teritorij:
End of Business Day,Kraj radnog dana
//==============================Security Enhancement page,
Security Enhancement,Poboljšanje sigurnosti
SECURITY ENHANCEMENTS ACTIVATION,AKTIVACIJA POBOLJŠANJA SIGURNOSTI
By installing UPS Plugin you gained this convenient option to apply UPS recommended Security Enhancements to your e-shop.By enabling particular security enhancements below you can make your e-shop less vulnerable to some common hackers' attacks.,
"Note, you can keep UPS recommended Security Enhancements disabled if you have already implemented these security measures in other way (by tweaking your web servers configurations properly, by coding own Magento hooks or by using some other plugin that aims to implement the similar enhancements).",Instaliranjem UPS dodatka dobili ste ovu praktičnu opciju za primjenu preporučenih sigurnosnih poboljšanja UPS-a na vašu e-trgovinu. Omogućavanjem određenih sigurnosnih poboljšanja u nastavku svoju e-trgovinu možete učiniti manje ranjivom na neke uobičajene hakerske napade.
"Note, you can keep UPS recommended Security Enhancements disabled if you have already implemented these security measures in other way (by tweaking your web servers configurations properly, by coding own Magento hooks or by using some other plugin that aims to implement the similar enhancements).",
Clickjacking Defense,Clickjacking obrana
"See [wikipedia|https://en.wikipedia.org/wiki/Clickjacking] for more details. If you enable this defense, then UPS plugin will secure your store by communicating framing policy to user's browser through 'X-Frame-Options: Sameorigin' HTTP response header and by injecting 'frame-breaker' java script for legacy browsers.- UPS Plugin can secure your e-shop Front Office pages in accordance with OWASP recommended Clickjacking Defense Cheat Sheet Disable this defense if you wish to enable framing of your e-shop GUI on 3rd party websites; or if you have already implemented this defense differently.","Pogledajte [wikipedia|https://en.wikipedia.org/wiki/Clickjacking] za više detalja. Ako omogućite ovu obranu, tada će UPS dodatak osigurati vašu trgovinu komuniciranjem pravila uokvirivanja korisničkom pregledniku putem 'X-Frame-Options: Sameorigin' zaglavlja HTTP odgovora i ubacivanjem 'frame-breaker' java skripte za naslijeđene preglednike.- UPS dodatak može osigurati stranice Front Officea vaše e-trgovine u skladu s preporukom OWASP-a Varalica za obranu od Clickjackinga Onemogućite ovu obranu ako želite omogućiti uokvirivanje GUI-ja vaše e-trgovine na web stranicama trećih strana; ili ako ste ovu obranu već proveli drugačije."
Use X-Frame-Options response header,Koristite zaglavlje odgovora X-Frame-Options
Do not use,Nemojte koristiti
Deny,Poreći
SameOrigin,SameOrigin
Use frame-killer script:,Koristite skriptu za ubijanje okvira:
Use Content-Security-Policy response header,Koristite zaglavlje odgovora Content-Security-Policy
frame-ancestors 'none',okvirni preci 'ništa'
frame-ancestors 'sefl',okvirni preci 'sefl'
Content Sniffing Prevention,Prevencija njuškanja sadržaja
"See wikipedia for more details.If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />X-Content-Type-Options: nosniff","Pogledajte wikipediju za više detalja. Ako označite ovu opciju, UPS dodatak će osigurati vaš Front Office vaše e-trgovine primjenom <br />X-Content-Type-Options: nosniff"
"HTTP Response Header to all Magento Front Office pages. That will prevent the client's browser (notably Internet Explorer) from MIME-sniffing a response away from the declared content-type. You may not really need this as your users are not supposed to upload any potentially harmful files to your e-shop (e.g. JavaScript instead of an Image). However, it is still good practice to enable this special security header as there is no performance penalty associated with it.","Zaglavlje HTTP odgovora na sve stranice Magento Front Officea. To će spriječiti klijentov preglednik (posebno Internet Explorer) da MIME-njuškanjem odgovora odmakne od deklarirane vrste sadržaja. Ovo vam možda neće trebati jer vaši korisnici ne bi trebali učitavati potencijalno štetne datoteke u vašu e-trgovinu (npr. JavaScript umjesto slike). Međutim, i dalje je dobra praksa omogućiti ovo posebno sigurnosno zaglavlje budući da s njim nema kaznenih učinaka."
Enables cross-site scripting filters in browsers that support the X-XSS-Protection directive,Omogućuje filtre skriptiranja između web-mjesta u preglednicima koji podržavaju direktivu X-XSS-Protection
"See wikipedia for more details.If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />X-XSS-Protection: '1; mode=block' <br />HTTP response header to all Magento Front Office pages.","Pogledajte wikipediju za više detalja. Ako označite ovu opciju, UPS dodatak će zaštititi vaš Front Office vaše e-trgovine primjenom <br />X-XSS-Protection: '1; mode=block' <br />Zaglavlje HTTP odgovora na sve stranice Magento Front Officea."
Protect your e-shop website against protocol downgrade attacks and cookie hijacking,Zaštitite svoju web stranicu e-trgovine od napada na stariju verziju protokola i otmice kolačića
"See wikipedia for more details If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />Strict-Transport-Security 'max-age=31536000; includeSubDomains' <br />HTTP response header to all Magento Front Office pages.","Pogledajte wikipediju za više detalja. Ako označite ovu opciju, UPS dodatak će zaštititi vašu e-trgovinu Front Office primjenom <br />Strict-Transport-Security 'max-age=31536000; includeSubDomains' <br />HTTP zaglavlje odgovora na sve stranice Magento Front Officea."
Prevent sensitive pages from caching by browser.,Spriječite spremanje osjetljivih stranica u predmemoriju od strane preglednika.
"See OWASP FAQs for more details. If you check this option, UPS plugin will secure the Checkout process by applying <br />Cache-Control: no-cache, no-store<br />Expires: 0 <br />Pragma: no-cache<br />HTTP response headers to the corresponding pages","Pogledajte OWASP FAQ za više detalja. Ako označite ovu opciju, UPS plugin će osigurati postupak naplate primjenom<br />Cache-Control: no-cache, no-store <br />Istječe: 0 <br />Pragma: no-cache <br /> Zaglavlja HTTP odgovora na odgovarajuće stranice"
Apply to pages,Primijeni na stranice
All,svi
Checkout only,Samo naplata
Data saved successfully.,Podaci su uspješno spremljeni.
We couldn't find any records,Nismo mogli pronaći nijedan zapis
Please wait…,Molimo pričekajte…
Archiving Orders,Arhiviranje naloga
There is no shipping service for the above address,Ne postoji usluga dostave za gornju adresu
The email is not empty,Email nije prazan
The country is not empty,Zemlja nije prazna
Select all,Odaberi sve
Unselect all,Poništi odabir svih
Do not have label for this Tracking ID,Nemate oznaku za ovaj ID praćenja
Print Label or download file.,Ispis naljepnice ili preuzimanje datoteke.
"Connection error, try later to install and configure","Pogreška povezivanja, pokušajte kasnije instalirati i konfigurirati"
We are unable to void this shipment at this time. You may attempt to void the shipment later. However you will not be billed for this shipment provided that you do not use the shipping label,"Trenutno ne možemo poništiti ovu pošiljku. Kasnije možete pokušati poništiti pošiljku. Međutim, neće vam biti naplaćena ova pošiljka pod uvjetom da ne koristite naljepnicu za otpremu"
Estimated Fee,Procijenjena naknada
Shipping fee,Poštarina
Poland,Poljska
United Kingdom,Ujedinjeno Kraljevstvo
France,Francuska
Germany,Njemačka
Italy,Italija
Netherlands,Nizozemska
Spain,Španjolska
Belgium,Belgija
Shipment Manager,Voditelj otpreme
Default Package,Zadani paket
Order Time,Vrijeme narudžbe
Time,Vrijeme
Warning,Upozorenje
Error! Package exceeds the maximum allowable size of 400 cm or 157.48 inches (the maximum allowable size calculation = length + 2 * width + 2 * height).,"Greška! Paket premašuje najveću dopuštenu veličinu od 400 cm ili 157,48 inča (izračun najveće dopuštene veličine = duljina + 2 * širina + 2 * visina)."
Access Points Address will be used as an alternative shipping address,Adresa pristupnih točaka koristit će se kao alternativna adresa za dostavu
Ship To (UPS Access Point),Otpremi (UPS pristupna točka)
