//======================= About page,//======================== Σελίδα Σχετικά με
About,Σχετικά με
"1) How do I get more information about my new UPS shipping account?<br />If you opened a new UPS shipping account from the plug-in, a confirmation email with more information will be sent to the email address that you entered while creating the new account.","1) Πώς μπορώ να λάβω περισσότερες πληροφορίες σχετικά με τον νέο μου λογαριασμό αποστολής UPS;<br />Εάν ανοίξατε έναν νέο λογαριασμό αποστολής UPS από την προσθήκη, ένα μήνυμα ηλεκτρονικού ταχυδρομείου επιβεβαίωσης με περισσότερες πληροφορίες θα σταλεί στη διεύθυνση ηλεκτρονικού ταχυδρομείου που καταχωρίσατε κατά τη διάρκεια δημιουργία του νέου λογαριασμού."
2) How do I prepare my packages for UPS collection or drop off to a UPS Access Point™?<br />Refer to the package preparation recommendations at this link - <a href='https://www.ups.com/%1/%2/services/individual-shipper/preparing-to-ship.page' target='_blank'>https://www.ups.com/%1/%2/services/individual-shipper/preparing-to-ship.page</a>,2. Πώς μπορώ να προετοιμάσω τα πακέτα μου για συλλογή UPS ή να παραδώσω σε μια τοποθεσία UPS Access Point™;<br />Ανατρέξτε στις συστάσεις προετοιμασίας πακέτων σε αυτόν τον σύνδεσμο - <a href='https://www.ups.com /%1/%2/services/individual-shipper/preparing-to-ship.page' target='_blank'>https://www.ups.com/%1/%2/services/individual-shipper/preparing -to-ship.page</a>
3) How do I give my packages to UPS?<br />You can drop you packages at any authorized UPS location such as a UPS Access Point™. Click below to search for a convenient access point location near you.,"3. Πώς μπορώ να δώσω τα πακέτα μου στην UPS;<br />Μπορείτε να παραδώσετε το πακέτο σας σε οποιαδήποτε εξουσιοδοτημένη τοποθεσία της UPS, όπως μια τοποθεσία UPS Access Point™. Κάντε κλικ παρακάτω για να αναζητήσετε μια βολική τοποθεσία κοντά σας"
"You can also ask UPS to pickup packages from your warehouse or business address. If you need an occasional pickup, you can directly schedule a pickup from UPS.COM using this link - <a href='https://wwwapps.ups.com/pickup/schedule?loc=%1' target='_blank'>https://wwwapps.ups.com/pickup/schedule?loc=%1</a>","Μπορείτε επίσης να ζητήσετε από την UPS να παραλάβει πακέτα από την αποθήκη ή τη διεύθυνση της επιχείρησής σας. Εάν χρειάζεστε περιστασιακή παραλαβή, μπορείτε να προγραμματίσετε απευθείας μια παραλαβή από την UPS.COM χρησιμοποιώντας αυτόν τον σύνδεσμο - <a href='https://wwwapps.ups.com/pickup/schedule?loc=%1' target='_blank' >https://wwwapps.ups.com/pickup/schedule?loc=%1</a>"
"If you have UPS packages on most business days and would prefer a regular UPS pickup, you can email a completed and signed Pickup form to the following email address - konto@ups.com. Then a UPS representative will be in touch with you to discuss a daily UPS pickup.","Εάν διαθέτετε πακέτα UPS τις περισσότερες εργάσιμες ημέρες και προτιμάτε μια κανονική παραλαβή της UPS, μπορείτε να επικοινωνήσετε με την UPS καλώντας στον αριθμό τηλεφώνου που παρέχεται στην ενότητα Ερωτήσεις χρέωσης <a href='https://www.ups.com/%1/% 2/help-center/contact.page' target='_blank'>εδώ</a>. Στη συνέχεια, ένας εκπρόσωπος της UPS θα επικοινωνήσει μαζί σας για να συζητήσει μια καθημερινή παραλαβή της UPS."
"If you have UPS packages on most business days and would prefer a regular UPS pickup, you can contact UPS by calling at the phone number provided under Billing Questions <a href='https://www.ups.com/%1/%2/help-center/contact.page' target='_blank'>here</a>. Then a UPS representative will be in touch with you to discuss a daily UPS pickup.","Εάν έχετε πακέτα UPS τις περισσότερες εργάσιμες ημέρες και προτιμάτε μια κανονική παραλαβή UPS, ανατρέξτε σε αυτόν τον σύνδεσμο για οδηγίες σχετικά με τον προγραμματισμό ημερήσιων παραλαβών: <a href='https://www.ups.com/us/en/shipping/services /value-added/daily-pickup.page' target='_blank'>https://www.ups.com/us/en/shipping/services/value-added/daily-pickup.page</a>"
4. What steps do I need to take to set up a UPS Collect on Delivery (COD) service?<br />You can contact UPS by calling at the phone number provided under Billing Questions <a href='https://www.ups.com/%1/%2/help-center/contact.page' target='_blank'>here</a>. Then a UPS representative will be in touch with you to discuss the COD service.,"4. Τι βήματα πρέπει να ακολουθήσω για να δημιουργήσω μια υπηρεσία UPS Collect on Delivery (COD);<br />Μπορείτε να επικοινωνήσετε με την UPS καλώντας στον αριθμό τηλεφώνου που παρέχεται στην ενότητα Ερωτήσεις χρέωσης <a href='https://www .ups.com/%1/%2/help-center/contact.page' target='_blank'>εδώ</a>. Στη συνέχεια, ένας εκπρόσωπος της UPS θα επικοινωνήσει μαζί σας για να συζητήσει την υπηρεσία αντικαταβολής."
4) What steps do I need to take to set up a UPS Collect on Delivery (COD) service?<br />You can email a completed and signed COD form to the following email address - konto@ups.com. Then a UPS representative will be in touch with you to discuss the COD service.,"4. Ποια βήματα πρέπει να κάνω για να δημιουργήσω μια υπηρεσία UPS Collect on Delivery (COD);<br />Εάν ενδιαφέρεστε να χρησιμοποιήσετε τις υπηρεσίες UPS Collect on Delivery (COD), ανατρέξτε σε αυτόν τον σύνδεσμο για λεπτομέρειες: <br /> a href='https://www.ups.com/%1/%2/shipping/services/value-added/cod.page' target='_blank'>https://www.ups.com/%1 /%2/shipping/services/value-added/cod.page</a>"
Search UPS Access Point™,Αναζήτηση τοποθεσιών
Print form,Εκτύπωση φόρμας
//======================= E-shopper page,//======================= Σελίδα e-shopper
Deliver to an UPS Access Point<sup>TM</sup>,Παράδοση σε τοποθεσία UPS Access Point™
Your package will be delivered to an UPS Access Point<sup>TM</sup>,Το πακέτο σας θα παραδοθεί σε μια τοποθεσία UPS Access Point™
Open 24 hours,Ανοιχτά 24 ώρες
The address is required,Απαιτείται η διεύθυνση
Please select an Access Point to process,Επιλέξτε ένα σημείο πρόσβασης για επεξεργασία
Operating Hours,Ωρες λειτουργίας
Open,Ανοιξε
Close,Κλείσε
Monday,Δευτέρα
Closed,Κλειστό
Tuesday,Τρίτη
Wednesday,Τετάρτη
Thursday,Πέμπτη
Friday,Παρασκευή
Saturday,Σάββατο
Sunday,Κυριακή
Search for the UPS Access Point<sup>TM</sup>,Αναζητήστε τοποθεσίες UPS Access Point™
Near,Κοντά
Delivered by End of Business Day,Παράδοση μέχρι το τέλος της εργάσιμης ημέρας
"Address line, City, State, Postcode","Γραμμή διεύθυνσης, πόλη, πολιτεία, ταχυδρομικός κώδικας"
"Address line,City,State,Postcode","Γραμμή διεύθυνσης, πόλη, πολιτεία, ταχυδρομικός κώδικας"
Use my delivery address,Χρησιμοποιήστε τη διεύθυνση παράδοσης μου
Search,Αναζήτηση
Results,Αποτελέσματα
Select,Επιλέγω
Deliver to Your Address,Παράδοση στη διεύθυνσή σας
Your package will be delivered to your address,Το πακέτο σας θα παραδοθεί στη διεύθυνσή σας
UPS SHIPPING,UPS ΑΠΟΣΤΟΛΗ
Delivery today!,Παράδοση σήμερα!
Delivery next day!,Παράδοση την επόμενη μέρα!
Next two days!,Οι επόμενες δύο μέρες!
Next three days!,Το επόμενο τριήμερο!
Next four days!,Οι επόμενες τέσσερις μέρες!
Next five days!,Οι επόμενες πέντε μέρες!
Next six days!,Οι επόμενες έξι μέρες!
Next seven days!,Επόμενες επτά ημέρες!
Next eight days!,Οι επόμενες οκτώ μέρες!
Next nine days!,Οι επόμενες εννιά μέρες!
Next ten days!,Το επόμενο δεκαήμερο!
delivered by,παραδόθηκε από
Delivered by,Παραδόθηκε από
January,Ιανουάριος
February,Φεβρουάριος
March,Μάρτιος
April,Απρίλιος
May,Ενδέχεται
June,Ιούνιος
July,Ιούλιος
August,Αύγουστος
September,Σεπτέμβριος
November,Νοέμβριος
October,Οκτώβριος
December,Δεκέμβριος
//======================= Open Order page,//======================= Ανοίξτε σελίδα παραγγελίας
Open Orders,Ανοιχτές Παραγγελίες
Create Single Shipments,Δημιουργία μεμονωμένων αποστολών
Create Batch Shipments,Δημιουργία παρτίδων
Export All Orders,Εξαγωγή όλων των παραγγελιών
Export Orders,Παραγγελίες εξαγωγής
Archive Orders,Παραγγελίες αρχείου
Order ID,Αριθμός Παραγγελίας
Order Date,Ημερομηνία παραγγελίας
Product,Προϊόν
Delivery Address,Διεύθυνση παράδοσης
Shipping Service,Υπηρεσία αποστολής
COD,ΓΑΔΟΣ
Action,Δράση
No results!,Χωρίς αποτέλεσμα!
"Warning - Archiving orders will move your orders in the Archive tab and you can no longer process these orders. Click 'OK' to continue, 'Cancel' to go back to the screen","Προειδοποίηση - Η αρχειοθέτηση παραγγελιών θα μετακινήσει τις παραγγελίες σας στην καρτέλα Αρχειοθέτηση και δεν μπορείτε πλέον να επεξεργαστείτε αυτές τις παραγγελίες. Κάντε κλικ στο 'OK' για να συνεχίσετε, στο 'Cancel' για να επιστρέψετε στην οθόνη"
Cancel,Ματαίωση
//======================= Detail Order page,//======================= Λεπτομέρειες σελίδα παραγγελίας
Order,Σειρά
Order #,Σειρά #
Customer,Πελάτης
Order value,Αξία παραγγελίας
Payment status,Κατάσταση πληρωμής
Access Point,Σημείο πρόσβασης
//======================= Create single shipment page,//======================== Δημιουργία σελίδας αποστολής
Process Shipment,Διαδικασία Αποστολής
Ship From,Αποστολή από
Ship To,Αποστολή προς
Accessorial service,Εξυπηρέτηση αξεσουάρ*
Packaging,Συσκευασία
Package #1,Πακέτο #1
Package #,Πακέτο #
Add package,Προσθήκη πακέτου
View estimated shipping fee and delivery date,Δείτε την εκτιμώμενη χρέωση αποστολής και την ημερομηνία παράδοσης
Edit,Επεξεργασία
Create Shipment,Δημιουργία Αποστολής
Custom Package,Προσαρμοσμένο πακέτο
Name,Ονομα
Address,Διεύθυνση
State,κατάσταση
Note: Insufficient or incorrect address may increase the shipping fee,Σημείωση: Ανεπαρκής ή λανθασμένη διεύθυνση ενδέχεται να αυξήσει τα έξοδα αποστολής
Additional Handling,Πρόσθετος χειρισμός
Additional handling,Πρόσθετος χειρισμός
Quantum View Ship Notification,Ειδοποίηση αποστολής Quantum View
Quantum View Delivery Notification,Ειδοποίηση παράδοσης Quantum View
Residential Address,Διεύθυνση κατοικίας
Saturday Delivery,Παράδοση Σαββάτου
Carbon Neutral,Ουδέτερος άνθρακας
Direct Delivery Only,Μόνο απευθείας παράδοση
Declared value,Δηλωμένη αξία
Signature Required,Απαιτείται υπογραφή
Adult Signature Required,Απαιτείται υπογραφή ενηλίκου
To Home COD,Προς το σπίτι αντικαταβολή
Cancel Editing,Ακύρωση επεξεργασίας
To Access Point COD,Στο σημείο πρόσβασης COD
Orders to be processed,Παραγγελίες προς επεξεργασία
The name is not empty,Το όνομα δεν είναι κενό
The address is required,Απαιτείται η διεύθυνση
The postal code is empty or invalid,Ο ταχυδρομικός κώδικας είναι κενός ή άκυρος
The city is not empty,Η πόλη δεν είναι άδεια
Invalid email format,Μη έγκυρη μορφή email
The phone is not empty,Το τηλέφωνο δεν είναι άδειο
Some of the data you entered is not valid. Please check again.,Ορισμένα από τα δεδομένα που εισαγάγατε δεν είναι έγκυρα. Παρακαλώ ξαναελέγξτε.
There are errors connecting to the UPS API servers. Please try again.,Υπάρχουν σφάλματα κατά τη σύνδεση με τους διακομιστές API της UPS. ΠΑΡΑΚΑΛΩ προσπαθησε ξανα.
//======================= Shipment page,//======================= Σελίδα αποστολής
Shipments,Αποστολές
"By selecting any order in this shipment tab, I agree to the <a href='javascrip:void(0);' id='term-condition'>Terms and Conditions.</a>","Επιλέγοντας οποιαδήποτε παραγγελία σε αυτήν την καρτέλα αποστολής, συμφωνώ με το <a href='javascrip:void(0);' id='term-condition'>Όροι και Προϋποθέσεις.</a>"
UPS Tracking Terms and Conditions,Όροι και Προϋποθέσεις παρακολούθησης της UPS
"NOTICE: The UPS package tracking systems accessed via this service (the &quot; Tracking Systems &quot;) and tracking information obtained through this service (the &quot; Information &quot;) is the private property of UPS. UPS authorizes you to use the Tracking Systems solely to track shipments tendered by or for you to UPS for delivery and for no other purpose. Without limitation, you are not authorized to make the Information available on any web site or otherwise reproduce, distribute, copy, store, use or sell the Information for commercial gain without the express written consent of UPS. This is a personal service, thus your right to use the Tracking Systems or Information is non-assignable. Any access or use that is inconsistent with these terms is unauthorized and strictly prohibited.","ΕΙΔΟΠΟΙΗΣΗ: Τα συστήματα παρακολούθησης πακέτων UPS στα οποία έχετε πρόσβαση μέσω αυτής της υπηρεσίας (τα ""Συστήματα Παρακολούθησης"") και οι πληροφορίες παρακολούθησης που λαμβάνονται μέσω αυτής της υπηρεσίας (οι ""Πληροφορίες"") αποτελούν ιδιωτική ιδιοκτησία της UPS. Η UPS σάς εξουσιοδοτεί να χρησιμοποιείτε τα Συστήματα Παρακολούθησης αποκλειστικά για την παρακολούθηση αποστολών που προσφέρονται από ή για εσάς στην UPS για παράδοση και για κανέναν άλλο σκοπό. Χωρίς περιορισμό, δεν είστε εξουσιοδοτημένοι να κάνετε τις Πληροφορίες διαθέσιμες σε οποιονδήποτε ιστότοπο ή να αναπαράγετε, διανέμετε, αντιγράφετε, αποθηκεύετε, χρησιμοποιείτε ή πουλάτε με άλλον τρόπο τις Πληροφορίες για εμπορικό όφελος χωρίς τη ρητή γραπτή συγκατάθεση της UPS. Αυτή είναι μια προσωπική υπηρεσία, επομένως το δικαίωμά σας να χρησιμοποιείτε τα Συστήματα Παρακολούθησης ή τις Πληροφορίες δεν εκχωρείται. Οποιαδήποτε πρόσβαση ή χρήση που δεν συνάδει με αυτούς τους όρους είναι μη εξουσιοδοτημένη και απαγορεύεται αυστηρά."
Download PDF Label,Λήψη ετικέτας PDF
Download ZPL Label,Κατεβάστε το ZPL Label
Export Shipment Data,Εξαγωγή δεδομένων αποστολής
Cancel Shipments,Ακύρωση Αποστολών
ID Shipment,Αποστολή ταυτότητας
Tracking Number,Αριθμός εντοπισμού
Date,Ημερομηνία
Estimated Shipping Fee,Εκτιμώμενο τέλος αποστολής
Shipment #,Αποστολή #
Order #ID reference,Αναφορά ταυτότητας παραγγελίας
Package details,Λεπτομέρειες πακέτου
Are you sure you want to cancel selected shipment(s)?,Είστε βέβαιοι ότι θέλετε να ακυρώσετε επιλεγμένες αποστολές;
Shipment Canceled,Η αποστολή ακυρώθηκε
Archived Orders,Αρχειοθετημένες παραγγελίες
//======================= Additional,//======================= Πρόσθετα
Packaging:,Συσκευασία:
Access Point display setting:,Ρύθμιση εμφάνισης UPS Access Point:
Number of Access Points visible to customers:,Αριθμός σημείων πρόσβασης ορατά στους πελάτες:
Display all the Access Points in range of:,Εμφάνιση όλων των σημείων πρόσβασης στην περιοχή:
Title:,Τίτλος:
Company:,Εταιρία:
Email:,ΗΛΕΚΤΡΟΝΙΚΗ ΔΙΕΥΘΥΝΣΗ:
Phone &nbsp number:,Αριθμός τηλεφώνου &nbsp:
Phone &nbsp;number:,Αριθμός τηλεφώνου &nbsp;:
Address type:,Τύπος Διεύθυνσης:
Address:,Διεύθυνση:
Postal code:,Ταχυδρομικός Κώδικας:
City:,Πόλη:
Country:,Χώρα:
Account Name:,Ονομα λογαριασμού:
Account Number:,Αριθμός λογαριασμού:
Account number:,Αριθμός λογαριασμού:
Invoice Number:,Αριθμός τιμολογίου:
Invoice Amount:,Ποσό τιμολογίου:
Currency:,Νόμισμα:
Invoice date:,Την ημερομηνία του τιμολογίου:
Name:,Ονομα:
Phone:,Τηλέφωνο:
Customer:,Πελάτης:
Product:,Προϊόν:
Shipping service:,Υπηρεσία αποστολής:
Order value:,Αξία παραγγελίας:
Payment status:,Κατάσταση πληρωμής:
Access Point:,Σημείο πρόσβασης:
Payment Status:,Κατάσταση πληρωμής:
Phone number:,Τηλεφωνικό νούμερο:
Package:,Πακέτο:
Estimated Shipping fee:,Εκτιμώμενο κόστος αποστολής:
Estimated Shipping Fee:,Εκτιμώμενο τέλος αποστολής:
Orders to be processed:,Παραγγελίες προς επεξεργασία:
Order #ID reference:,Αναφορά ταυτότητας παραγγελίας:
Package details:,Λεπτομέρειες πακέτου:
Tracking number:,Αριθμός εντοπισμού:
Accessorial Service:,Εξυπηρέτηση αξεσουάρ:
Accessorial service:,Εξυπηρέτηση αξεσουάρ:
"If you are new to UPS, please refer to the following FAQs for additional information:","Εάν είστε νέος στην UPS, ανατρέξτε στις ακόλουθες Συχνές Ερωτήσεις για πρόσθετες πληροφορίες:"
VAT Number:,ΑΦΜ:
Promo Code:,Κωδικός προσφοράς:
Country/Territory:,Χώρα/Επικράτεια:
End of Business Day,Τέλος εργάσιμης ημέρας
//==============================Security Enhancement page,
Security Enhancement,Ενίσχυση Ασφάλειας
SECURITY ENHANCEMENTS ACTIVATION,ΕΝΕΡΓΟΠΟΙΗΣΗ ΕΝΙΣΧΥΣΕΩΝ ΑΣΦΑΛΕΙΑΣ
By installing UPS Plugin you gained this convenient option to apply UPS recommended Security Enhancements to your e-shop.By enabling particular security enhancements below you can make your e-shop less vulnerable to some common hackers' attacks.,
"Note, you can keep UPS recommended Security Enhancements disabled if you have already implemented these security measures in other way (by tweaking your web servers configurations properly, by coding own Magento hooks or by using some other plugin that aims to implement the similar enhancements).","Με την εγκατάσταση της προσθήκης UPS αποκτήσατε αυτή τη βολική επιλογή για να εφαρμόσετε τις προτεινόμενες βελτιώσεις ασφαλείας της UPS στο ηλεκτρονικό σας κατάστημα. Ενεργοποιώντας συγκεκριμένες βελτιώσεις ασφαλείας παρακάτω, μπορείτε να κάνετε το ηλεκτρονικό σας κατάστημα λιγότερο ευάλωτο σε ορισμένες κοινές επιθέσεις χάκερ."
"Note, you can keep UPS recommended Security Enhancements disabled if you have already implemented these security measures in other way (by tweaking your web servers configurations properly, by coding own Magento hooks or by using some other plugin that aims to implement the similar enhancements).",
Clickjacking Defense,Clickjacking Defense
"See [wikipedia|https://en.wikipedia.org/wiki/Clickjacking] for more details. If you enable this defense, then UPS plugin will secure your store by communicating framing policy to user's browser through 'X-Frame-Options: Sameorigin' HTTP response header and by injecting 'frame-breaker' java script for legacy browsers.- UPS Plugin can secure your e-shop Front Office pages in accordance with OWASP recommended Clickjacking Defense Cheat Sheet Disable this defense if you wish to enable framing of your e-shop GUI on 3rd party websites; or if you have already implemented this defense differently.","Δείτε [wikipedia|https://en.wikipedia.org/wiki/Clickjacking] για περισσότερες λεπτομέρειες. Εάν ενεργοποιήσετε αυτήν την άμυνα, τότε η προσθήκη UPS θα ασφαλίσει το κατάστημά σας κοινοποιώντας την πολιτική πλαισίωσης στο πρόγραμμα περιήγησης του χρήστη μέσω της κεφαλίδας απόκρισης HTTP «X-Frame-Options: Sameorigin» και εισάγοντας το σενάριο java «frame-breaker» για προγράμματα περιήγησης παλαιού τύπου.- Προσθήκη UPS μπορεί να ασφαλίσει τις σελίδες του Front Office του ηλεκτρονικού σας καταστήματος σύμφωνα με το Φύλλο εξαπάτησης του Clickjacking Defense που προτείνεται από το OWASP Απενεργοποιήστε αυτήν την άμυνα εάν θέλετε να ενεργοποιήσετε το πλαίσιο του γραφικού περιβάλλοντος χρήστη του ηλεκτρονικού σας καταστήματος σε ιστότοπους τρίτων. ή αν έχετε ήδη εφαρμόσει αυτή την άμυνα διαφορετικά."
Use X-Frame-Options response header,Χρησιμοποιήστε την κεφαλίδα απόκρισης X-Frame-Options
Do not use,Μη χρησιμοποιεις
Deny,Αρνούμαι
SameOrigin,SameOrigin
Use frame-killer script:,Χρησιμοποιήστε σενάριο frame-killer:
Use Content-Security-Policy response header,Χρησιμοποιήστε την κεφαλίδα απάντησης Content-Security-Policy
frame-ancestors 'none',"πλαίσιο-πρόγονοι ""κανένας"""
frame-ancestors 'sefl',καρέ-πρόγονοι «sefl»
Content Sniffing Prevention,Πρόληψη ρουφήγματος περιεχομένου
"See wikipedia for more details.If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />X-Content-Type-Options: nosniff","Ανατρέξτε στη wikipedia για περισσότερες λεπτομέρειες. Εάν κάνετε αυτήν την επιλογή, η προσθήκη UPS θα ασφαλίσει το ηλεκτρονικό σας κατάστημα Front Office εφαρμόζοντας <br />X-Content-Type-Options: nosniff"
"HTTP Response Header to all Magento Front Office pages. That will prevent the client's browser (notably Internet Explorer) from MIME-sniffing a response away from the declared content-type. You may not really need this as your users are not supposed to upload any potentially harmful files to your e-shop (e.g. JavaScript instead of an Image). However, it is still good practice to enable this special security header as there is no performance penalty associated with it.","Κεφαλίδα απόκρισης HTTP σε όλες τις σελίδες του Magento Front Office. Αυτό θα αποτρέψει το πρόγραμμα περιήγησης του πελάτη (κυρίως τον Internet Explorer) από το MIME-sniff μια απάντηση μακριά από τον δηλωμένο τύπο περιεχομένου. Μπορεί να μην το χρειάζεστε πραγματικά, καθώς οι χρήστες σας δεν υποτίθεται ότι ανεβάζουν τυχόν επιβλαβή αρχεία στο e-shop σας (π.χ. JavaScript αντί για Εικόνα). Ωστόσο, εξακολουθεί να είναι καλή πρακτική η ενεργοποίηση αυτής της ειδικής κεφαλίδας ασφαλείας καθώς δεν υπάρχει ποινή απόδοσης που να σχετίζεται με αυτήν."
Enables cross-site scripting filters in browsers that support the X-XSS-Protection directive,Ενεργοποιεί φίλτρα δέσμης ενεργειών μεταξύ τοποθεσιών σε προγράμματα περιήγησης που υποστηρίζουν την οδηγία X-XSS-Protection
"See wikipedia for more details.If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />X-XSS-Protection: '1; mode=block' <br />HTTP response header to all Magento Front Office pages.","Ανατρέξτε στη wikipedia για περισσότερες λεπτομέρειες. Εάν κάνετε αυτήν την επιλογή, η προσθήκη UPS θα ασφαλίσει το ηλεκτρονικό σας κατάστημα Front Office εφαρμόζοντας <br />X-XSS-Protection: '1; mode=block' <br />Κεφαλίδα απόκρισης HTTP σε όλες τις σελίδες του Magento Front Office."
Protect your e-shop website against protocol downgrade attacks and cookie hijacking,Προστατέψτε τον ιστότοπο του ηλεκτρονικού σας καταστήματος από επιθέσεις υποβάθμισης πρωτοκόλλου και πειρατεία cookie
"See wikipedia for more details If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />Strict-Transport-Security 'max-age=31536000; includeSubDomains' <br />HTTP response header to all Magento Front Office pages.","Ανατρέξτε στη wikipedia για περισσότερες λεπτομέρειες Εάν κάνετε αυτήν την επιλογή, η προσθήκη UPS θα ασφαλίσει το ηλεκτρονικό σας κατάστημα Front Office εφαρμόζοντας <br />Strict-Transport-Security 'max-age=31536000; περιλαμβάνει <br />Επικεφαλίδα απόκρισης HTTP του SubDomains σε όλες τις σελίδες του Magento Front Office."
Prevent sensitive pages from caching by browser.,Αποτρέψτε ευαίσθητες σελίδες από την προσωρινή αποθήκευση από το πρόγραμμα περιήγησης.
"See OWASP FAQs for more details. If you check this option, UPS plugin will secure the Checkout process by applying <br />Cache-Control: no-cache, no-store<br />Expires: 0 <br />Pragma: no-cache<br />HTTP response headers to the corresponding pages","Δείτε τις Συνήθεις Ερωτήσεις του OWASP για περισσότερες λεπτομέρειες. Εάν ενεργοποιήσετε αυτήν την επιλογή, η προσθήκη UPS θα εξασφαλίσει τη διαδικασία Checkout εφαρμόζοντας<br />Cache-Control: no-cache, no-store <br />Λήγει: 0 <br />Pragma: no-cache <br /> Επικεφαλίδες απόκρισης HTTP στις αντίστοιχες σελίδες"
Apply to pages,Εφαρμογή σε σελίδες
All,Ολα
Checkout only,Μόνο ταμείο
Data saved successfully.,Τα δεδομένα αποθηκεύτηκαν με επιτυχία.
We couldn't find any records,Δεν μπορέσαμε να βρούμε κανένα αρχείο
Please wait…,Παρακαλώ περιμένετε…
Archiving Orders,Αρχειοθέτηση Παραγγελιών
There is no shipping service for the above address,Δεν υπάρχει υπηρεσία αποστολής για την παραπάνω διεύθυνση
The email is not empty,Το email δεν είναι κενό
The country is not empty,Η χώρα δεν είναι άδεια
Select all,Επιλογή όλων
Unselect all,Καταργήστε την επιλογή όλων
Do not have label for this Tracking ID,Δεν υπάρχει ετικέτα για αυτό το αναγνωριστικό παρακολούθησης
Print Label or download file.,Εκτύπωση ετικέτας ή λήψη αρχείου.
"Connection error, try later to install and configure","Σφάλμα σύνδεσης, δοκιμάστε αργότερα να εγκαταστήσετε και να ρυθμίσετε τις παραμέτρους"
We are unable to void this shipment at this time. You may attempt to void the shipment later. However you will not be billed for this shipment provided that you do not use the shipping label,"Δεν μπορούμε να ακυρώσουμε αυτήν την αποστολή αυτήν τη στιγμή. Μπορείτε να επιχειρήσετε να ακυρώσετε την αποστολή αργότερα. Ωστόσο, δεν θα χρεωθείτε για αυτήν την αποστολή, υπό την προϋπόθεση ότι δεν χρησιμοποιείτε την ετικέτα αποστολής"
Estimated Fee,Εκτιμώμενο τέλος
Shipping fee,Εξοδα αποστολής
Poland,Πολωνία
United Kingdom,Ηνωμένο Βασίλειο
France,Γαλλία
Germany,Γερμανία
Italy,Ιταλία
Netherlands,Ολλανδία
Spain,Ισπανία
Belgium,Βέλγιο
Shipment Manager,Υπεύθυνος Αποστολών
Default Package,Προεπιλεγμένο πακέτο
Order Time,Ώρα παραγγελίας
Time,χρόνος
Warning,Προειδοποίηση
Error! Package exceeds the maximum allowable size of 400 cm or 157.48 inches (the maximum allowable size calculation = length + 2 * width + 2 * height).,"Λάθος! Η συσκευασία υπερβαίνει το μέγιστο επιτρεπόμενο μέγεθος των 400 cm ή 157,48 ίντσες (υπολογισμός μέγιστου επιτρεπόμενου μεγέθους = μήκος + 2 * πλάτος + 2 * ύψος)."
Access Points Address will be used as an alternative shipping address,Η διεύθυνση σημείων πρόσβασης θα χρησιμοποιηθεί ως εναλλακτική διεύθυνση αποστολής
Ship To (UPS Access Point),Αποστολή σε (Σημείο πρόσβασης UPS)
